group	job
Tehnikud ja spetsialistid	Politseiinspektorid ja -uurijad
Tehnikud ja spetsialistid	Valitsuse haldusalade ametnikud, mujal liigitamata
Tehnikud ja spetsialistid	Õigusvaldkonna keskastme spetsialistid
Tehnikud ja spetsialistid	Sotsiaaltöö keskastme spetsialistid
Tehnikud ja spetsialistid	Treenerid, spordiinstruktorid ja -ametnikud
Tehnikud ja spetsialistid	Tervisespordi- ja vabaajateenuste instruktorid ja programmijuhid
Tehnikud ja spetsialistid	Fotograafid
Tehnikud ja spetsialistid	Sisekujundajad ja dekoraatorid
Tehnikud ja spetsialistid	Peakokad
Tehnikud ja spetsialistid	Muud kunsti- ja kultuurivaldkonna keskastme spetsialistid
Tehnikud ja spetsialistid	IKT protsesside, teenuste ja kasutajatoe tehnikud
Tehnikud ja spetsialistid	Audiovisuaal- ja ringhäälingutehnikud
Ametnikud	Kontoritöötajad ja klienditeenindajad (täpsustamata)
Ametnikud	Asjaajamise tugitöötajad
Ametnikud	Andmesisestajad
Ametnikud	Täpsustamata klienditeenindajad
Ametnikud	Pangatellerid jms klienditeenindajad
Ametnikud	Võlgade sissenõudjad jms töötajad
Ametnikud	Reisikonsultandid jm reisibüroo klienditeenindajad
Ametnikud	Hotelliadministraatorid
Ametnikud	Infopunkti klienditeenindajad
Ametnikud	Üldadministraatorid
Ametnikud	Uuringute, sh turu-uuringute küsitlejad
Ametnikud	Raamatupidamise kontoritöötajad
Ametnikud	Palgaarvestajad
Ametnikud	Laoarvestuse kontoritöötajad
Ametnikud	Transpordivaldkonna kontoritöötajad
Ametnikud	Posti sorteerijad ja kättetoimetajad
Ametnikud	Kartoteegi- ja registripidajad
Ametnikud	Personalitöö assistendid
Teenindus- ja müügitöö	Reisi- ja lennusaatjad
Teenindus- ja müügitöö	Giidid
Teenindus- ja müügitöö	Kokad
Teenindus- ja müügitöö	Ettekandjad ja kelnerid
Teenindus- ja müügitöö	Juuksurid
Teenindus- ja müügitöö	Iluteenindajad
Teenindus- ja müügitöö	Kontorite, hotellide jm asutuste koristus- ja majapidamistööde juhatajad
Teenindus- ja müügitöö	Hoonete haldajad
Teenindus- ja müügitöö	Lemmikloomade hooldajad
Teenindus- ja müügitöö	Sõiduõpetajad
Teenindus- ja müügitöö	Täpsustamata müügitöötajad
Teenindus- ja müügitöö	Kioski- ja turumüüjad
Teenindus- ja müügitöö	Poemüüjad
Teenindus- ja müügitöö	Kassapidajad ja piletimüüjad
Teenindus- ja müügitöö	Telefonimüügi agendid
Teenindus- ja müügitöö	Müügitöötajad, mujal liigitamata
Teenindus- ja müügitöö	Lapsehoidjad
Teenindus- ja müügitöö	Õpetajaabid
Teenindus- ja müügitöö	Tervishoiu hooldustöötajad
Teenindus- ja müügitöö	Tervishoiu hooldustöötajad, mujal liigitamata
Teenindus- ja müügitöö	Päästjad ja tuletõrjujad
Teenindus- ja müügitöö	Politseinikud
Teenindus- ja müügitöö	Vangivalvurid
Teenindus- ja müügitöö	Turvatöötajad
Põllumajandus, metsandus ja kalandus	Aednikud, puukooli töötajad ja istikukasvatajad
Põllumajandus, metsandus ja kalandus	Loomakasvatajad
Põllumajandus, metsandus ja kalandus	Segapõllumajanduse oskustöölised
Põllumajandus, metsandus ja kalandus	Metsanduse jms oskustöölised
